LAMMPS data file from restart file: timestep = 10000000, procs = 4

1425 atoms

3 atom types

-1.4715836815576756e+01 1.4715836815576756e+01 xlo xhi
-1.4715836815576756e+01 1.4715836815576756e+01 ylo yhi
-1.4715836815576756e+01 1.4715836815576756e+01 zlo zhi

Masses

1 91.22
2 63.55
3 26.98

Atoms

329 1 -1.2926541983601476e+01 -1.1358397468081650e+01 -1.0738899961690976e+01 0 0 0
370 1 -1.2502081822749396e+01 -1.0235975741153364e+01 -1.3624412567799739e+01 0 0 0
1048 2 -1.0865164452121546e+01 -1.2172501235081825e+01 -1.2562432320685645e+01 0 0 0
1138 2 -1.3595317159262738e+01 -1.3140663156713623e+01 -1.3065675487248724e+01 0 0 0
285 1 -1.2047878596690875e+01 -1.4379907329181803e+01 -1.1172144257908007e+01 0 0 0
753 2 -9.9604661919354349e+00 -1.0600313899200241e+01 -1.4571338430478718e+01 0 0 1
714 2 -1.0510055885063840e+01 -1.4697411576063201e+01 -1.3556325556206811e+01 0 1 0
419 1 -8.8496140838376434e+00 -1.3692354123311766e+01 -1.1494160088975665e+01 0 0 0
589 1 -8.1918943290317934e+00 -1.0937536435372765e+01 -1.2426521793857750e+01 0 0 0
600 1 -5.0899207671610807e+00 -1.0926978490933370e+01 -1.2078488525485731e+01 0 0 0
947 2 -9.1188225599722887e+00 -1.2883939583293559e+01 -1.4462069495111860e+01 0 0 0
992 2 -6.1815990751505829e+00 -1.3469377355752730e+01 -1.1995836175913054e+01 0 0 0
263 1 -3.3525672457052220e+00 -1.3726132269542751e+01 -1.2316398466568922e+01 0 0 0
820 2 -3.1751007648088070e-01 -1.0851207639894117e+01 -1.0424764636906179e+01 0 0 0
1021 2 -2.6652945082657631e+00 -1.1714762223836047e+01 -1.0628269730811873e+01 0 0 0
1125 2 -3.5292252732506402e+00 -1.1616616565905529e+01 -1.4219161229212233e+01 0 0 0
767 2 -4.7624565680961783e+00 -1.4382932358867533e+01 -1.4484343769060422e+01 0 0 1
542 1 -4.9605545182399702e-01 -1.2799525344092805e+01 -1.2596431345586684e+01 0 0 0
1414 3 -2.1082940436812425e+00 -1.0301619126142267e+01 -1.2540712796407369e+01 0 0 0
461 1 -1.2658329436445275e+00 -1.4216161783295259e+01 -9.8335399753333412e+00 0 0 0
412 1 1.6961232046353043e+00 -1.3421558862050663e+01 -1.0355418213762245e+01 0 0 0
657 1 2.4602141520570893e+00 -1.0304596709297456e+01 -1.0401285699129595e+01 0 0 0
928 2 3.8025080586800133e+00 -1.0475966435654223e+01 -1.3334298607128259e+01 0 0 0
1206 2 4.1801643417529863e+00 -1.2494852029668309e+01 -1.1596192462207167e+01 0 0 0
1328 2 2.1650099583738669e+00 -1.2224825543951619e+01 -1.2964690618849293e+01 0 0 0
358 1 5.5978390262536539e+00 -1.0115557354338385e+01 -1.0920917022039276e+01 0 0 0
341 1 6.1353185676597857e+00 -1.1708868027120312e+01 -1.3524901107718328e+01 0 0 0
622 1 8.7072845517338653e+00 -1.0884186174157652e+01 -1.0072411304868774e+01 0 0 0
852 2 8.7933435240754019e+00 -1.2051920397774754e+01 -1.2823514285945631e+01 0 0 0
1243 2 5.2726661120332405e+00 -1.4183224550207649e+01 -1.3026914143534096e+01 0 0 0
1362 3 6.9456998360667352e+00 -1.3143608306179184e+01 -1.1094608179490857e+01 0 0 0
861 2 8.9657783282636370e+00 -1.4416889338710934e+01 -1.2143938769721876e+01 0 1 0
175 1 7.7301367358796842e+00 -1.4073205882285261e+01 -1.4667953893214777e+01 0 0 1
154 1 1.3973883821673665e+01 -1.1102712691003909e+01 -1.3780858555462965e+01 0 0 0
330 1 1.1439553808171842e+01 -1.2048931703670208e+01 -1.2135860340444959e+01 0 0 0
356 1 1.4003064348548589e+01 -1.3338248733475236e+01 -1.0720789947726622e+01 0 0 0
837 2 1.3467983499933050e+01 -1.3790337955448214e+01 -1.3521548754286567e+01 0 0 0
916 2 1.3839961472130058e+01 -1.0613366963281953e+01 -1.1116760789192167e+01 0 0 0
1147 2 1.0404390187968284e+01 -1.3869956493364866e+01 -1.4064409553584454e+01 0 0 1
107 1 1.0013950991109374e+01 -1.3636850825465352e+01 -9.8467733071169903e+00 0 0 0
668 1 -1.2039967153938292e+01 -7.3327874415697796e+00 -1.2956572723905730e+01 0 0 0
698 1 -1.2799079479295555e+01 -8.2599917519463606e+00 -1.0145161072435547e+01 0 0 0
867 2 -1.0638063305174590e+01 -9.6852824040050010e+00 -1.1558688576434188e+01 0 0 0
1065 2 -1.4086313916330324e+01 -5.9560945114987707e+00 -1.1294099565286791e+01 0 0 0
1285 2 -1.1280687347881450e+01 -5.5090240259263670e+00 -1.1195243726251034e+01 0 0 0
734 2 -1.4465341881911041e+01 -8.7023192264253986e+00 -1.2383088927640641e+01 0 0 0
809 2 -9.3897666502465995e+00 -7.2583265493399907e+00 -1.1274582255770051e+01 0 0 0
988 2 -9.2039981326906375e+00 -8.4403772277420526e+00 -1.3326621561187277e+01 0 0 0
1234 2 -7.2862220936826221e+00 -6.8969088762318442e+00 -1.4327443110584491e+01 0 0 0
1270 2 -8.3914642116113125e+00 -9.4323689910545312e+00 -1.0096693639986693e+01 0 0 0
1410 3 -6.7311350111382433e+00 -8.2713840419124089e+00 -1.2287101712706727e+01 0 0 0
446 1 -9.6080454884496476e+00 -5.5460289385215873e+00 -1.3817741241187399e+01 0 0 0
1210 2 -5.8577011133010135e+00 -9.2958157243638944e+00 -1.0071463778961695e+01 0 0 0
