updated model

1523 atoms
3 atom types
-14.142135 14.142135 xlo xhi
-14.142135 14.142135 ylo yhi
-14.142135 14.142135 zlo zhi

Atoms

1 1 13.45581 -6.763674 10.98726
2 2 -7.304732 -8.426707 8.807910
3 2 9.675303 -9.686570 -10.21471
4 2 -6.889550 13.10942 -13.78980
5 2 13.37963 -9.470963 -11.00162
6 2 11.97438 -6.095568 -12.74686
7 2 -10.91536 -8.648501 -12.61994
8 2 -10.17455 -11.79667 -4.573156
9 3 -7.807438 -13.25581 -11.76472
10 3 -2.615059 13.14932 12.83168
11 1 -5.155132 11.21686 -11.71477
12 1 0.044363849 -14.10673 -14.14062
13 1 -7.198426 -9.263612 12.50203
14 2 -10.42729 13.17190 -9.871676
15 2 -10.08353 13.78632 -4.428751
16 2 -9.558782 10.39472 -11.98789
17 3 -3.594384 -8.834947 -7.061596
18 1 4.367336 -13.53139 -11.20117
19 1 -2.653180 -10.83345 -5.323040
20 2 0.072814167 -12.54352 -11.92987
21 3 1.786344 -9.579830 -10.19219
22 1 3.847267 -12.13980 13.49873
23 2 3.892284 13.90954 -8.609970
24 2 -3.527363 -6.582081 -8.913004
25 2 1.624799 -6.677289 -9.896121
26 3 10.80674 13.81787 -10.04409
27 1 7.826217 -10.78219 -8.741068
28 2 -4.669716 -11.44703 -7.035586
29 2 6.195644 -11.89478 -10.48619
30 2 8.371096 -10.84322 11.10614
31 3 8.934215 -12.24181 -11.32758
32 1 13.39784 -11.37638 -12.57877
33 1 8.004272 -13.36657 -8.886269
34 1 1.659178 11.52249 11.08740
35 2 10.98778 -10.51475 -12.58638
36 2 -12.04965 -7.758324 -7.856246
37 2 12.43072 -13.27974 13.86320
38 2 12.02319 -7.492600 12.91600
39 3 -7.327222 -5.549412 -12.96702
40 1 -9.152783 -4.431911 12.69110
41 2 -13.41787 -9.398455 -13.46196
42 2 -9.001236 -11.77306 -9.590529
43 2 -8.541186 -2.839495 -13.91300
44 2 -2.832611 -7.262616 -11.56004
45 3 -9.741057 -4.003555 -9.354664
46 3 -10.88107 -1.789074 12.50937
