 updated model
   28.28427       28.28427       28.28427    
          13   6.732786       5.481931      -13.13839    
          40   9.934472      0.3463215      -14.10468    
          29   10.01967       2.544017      -12.85691    
          13   13.67271       3.170075      -7.233856    
          13   6.261852      0.4748493      -11.60663    
          13   6.492753       3.195196      -9.352203    
          13   9.379337       5.096939      -11.32243    
          29   11.04384       6.412725      -9.970201    
          29  -11.89559       5.817875      -9.460512    
          29   12.23150       1.210833      -8.933477    
          29  -13.11242       5.073262       11.57248    
          13   9.807488      -1.010383      -9.539225    
          13  -13.16275      0.8065230      -13.34274    
          13   8.397592       1.609270      -11.01258    
          40  -11.44577       6.387536       13.51692    
          29  -10.46349       10.93127      -8.981190    
          13  -11.34996       6.943456       10.73476    
          13  -10.75632       9.045910      -10.77348    
          13  -13.37067       9.835648      -12.81636    
          13  -7.820668       7.217009      -11.09180    
          13  -10.52530       11.28417      -12.00730    
          40  -4.886416       6.092521      -12.91476    
          29  -2.084237       12.10371      -11.07048    
          29  -11.97262       4.966683      -13.07304    
          13  -5.933176       9.911428       12.36036    
          13  -7.234742       4.932302      -11.82622    
          13  -11.05004       2.335056      -13.76011    
          13  -8.858115       5.400753      -13.93132    
          13  -6.031687       2.199611      -13.22135    
          29  -1.227966       3.765316      -8.616650    
          29  -6.131187       6.492199       12.78649    
          29  -2.014674       6.694487       10.91309    
          13  -3.740041       2.000413      -13.56326    
          13  -5.269784       8.673178      -14.04031    
          13 -0.4810321       5.513508      -12.64078    
          13  -3.954985       12.17539      -12.45942    
          13  -1.079002       7.789438      -9.283073    
          29   3.082451       7.126372      -13.62191    
          29   4.894134       8.752014      -13.90749    
          13   1.306652       5.013124       13.38064    
          13   6.204456       7.833914      -11.92121    
          13  0.1859978       4.697981      -10.28960    
          29   6.511963       9.561114       12.01855    
          29   7.956110       9.439614      -11.82349    
          29   11.04326       1.425749      -10.89854    
          13   7.476791       8.869689      -14.04535    
          13   8.400802       7.255739      -12.60836    
          13   10.50406       10.46492      -10.95380    
          13   7.871042       7.273147      -9.862900    
          13   9.317638       1.505679       11.71996    
          29  -12.69766       11.80279       14.02164    
          29   13.50481       4.142760      -9.302516    
          13   9.061831       14.06014      -13.60339    
          13   13.05849       7.429327      -9.377107    
          13   13.86139       6.061947      -7.510644    
          13   6.238730       11.23959      -13.29840    
          40  -9.365545       13.76064       12.22087    
          29   12.73823       11.56131      -10.69376    
          29  -10.73682      -9.297751      -13.15813    
          29  -10.98358      -13.84580      -10.72274    
          13  -13.21210      -9.502021       13.96460    
          13  -7.602810       10.98004      -10.95848    
          13  -11.88480       13.43596      -12.69727    
          13  -6.407263       9.550255      -9.596387    
          29  -3.240128      -13.66745       8.174273    
          29  -1.674384       13.55411      -13.10962    
          29  -8.163330       12.30908      -12.94488    
          29  -6.307776      -11.92434      -6.855040    
          13  -10.45051      -13.02651      -13.17925    
          13  -9.390278       9.534170      -7.269360    
          29   1.026048       13.69760      -12.71235    
          29  -4.906715      -13.74281      -13.21155    
          29  -6.309051       10.83261      -13.20433    
          29  -1.983818       10.09714      -8.314037    
          29  -3.645658       9.918184      -12.28779    
          29  -5.914063       12.54623      -8.635063    
          13 -0.9705215      -13.95481      -10.55873    
          40  0.6153262       10.81374      -14.06037    
          29   1.774738       7.691279      -8.475586    
          29   5.326284       6.748791       13.09129    
          29   1.352722       10.55946      -8.736407    
          13   3.319305       8.218239      -10.97893    
          13  0.1942679       11.73208      -11.72992    
          13   2.468944       8.775742       13.00102    
          29   4.505166       12.61489      -12.43750    
          29   13.03878      -13.01078       11.04504    
          29   10.60533       6.633427      -13.00941    
          29   4.096879      -13.83147      -8.351306    
          13   6.491701      -11.26623      -10.72009    
          13   4.745838       12.38931      -9.291834    
          13   5.107491       9.846171      -11.70729    
          29   11.08906       12.63151      -9.364597    
          13   12.41396      -11.84748      -11.26682    
          13   8.836185       13.39870      -8.575267    
          13   10.77650      -13.52996      -7.856903    
          13   11.28633       8.950389      -12.89318    
          13   13.91142      -11.82955       13.24755    
          29  -10.61798      -11.32761      -9.884456    
          29  -8.434724      -10.23005      -1.926158    
          29  -5.908768      -12.10161      -4.581128    
          13   9.508870       12.44963      -3.089148    
          13  -13.88993       11.34561      -5.775558    
          13   11.77720      -12.54064      -5.168729    
          13  -12.03689      -7.218271      -9.866146    
          29  -10.20680      -9.505004      -8.518361    
          29   11.67109       13.36208      -4.354493    
          29  -3.100544      -12.36266      -9.274467    
          13  -5.850749      -13.90677      6.5165818E-02
          13  -13.84745      -12.75603      -4.410835    
          13  -4.694528      -13.87186      -6.990811    
          13  -2.626388      -12.53006      -13.09643    
          13  -9.735642      -13.30813      -8.328403    
          13  -6.436777       9.535836      -6.815195    
          29   1.853305      -11.27920      -6.920625    
          29  -2.528824       13.45112      -7.751354    
          13  -1.695334      -10.33275      -7.799034    
          13  -3.976982       13.64094      -9.775064    
          13  -8.457853      -12.58933      -5.644526    
          13  -3.874753       11.42728      -8.758167    
          13  -5.941566       12.49200      -6.297409    
          13  -1.576421      -9.256318      -5.665020    
          40   3.355716      -11.43778     -0.9926857    
          40   5.263226      -10.07304      -6.462853    
          40  -2.373465      -11.26095      -4.838912    
          29  -2.606109      -13.46283      -5.927077    
          29   5.879054      -11.67666      -3.873725    
          13 -0.1811813      -12.52388      -5.526346    
          13   6.276972       12.05365     -0.2387152    
          13   1.695959      -13.32766      -8.480147    
          29   9.534894      -13.48892      -4.407226    
          29   8.039345      -12.88052      -7.856864    
          13   7.040610       13.97547      -4.000124    
          13   12.40212       11.20735      -7.147816    
          13   8.663471      -6.558982     -0.7356315    
          13   6.509745       13.55507      -8.357165    
          40   13.42714      -12.82884      -7.379639    
          29   10.76183      -11.23894      -2.903261    
          29   4.482742       13.64528      -5.221786    
          29   9.299661      -12.19791     -0.7410399    
          13  -13.28843       13.67783      -5.730943    
          13   10.97357      -11.31043      -9.019932    
          13  -11.70273       12.69187      -7.893607    
          13   13.82185      -8.783570      -2.229036    
          13   13.76172      -5.402063      -5.568993    
          13  -10.62266      -11.28378      -6.867947    
          13  -12.99475      -9.286576      -9.877724    
          13  -8.814164      -5.361507      -4.655346    
          29  -8.240684      -5.119235      -11.28446    
          13  -9.775973      -6.774907      -10.01846    
          13  -5.115917      -9.703089      -10.98432    
          13  -8.156690      -9.191376      -9.682364    
          13  -7.229548      -6.403955      -9.182384    
          13  -7.928623      -11.22588      -8.580131    
          13  -6.495575      -4.078394      -7.289344    
          29  -6.078288      -9.821352      -8.503554    
          13   2.037787      -9.218120      -5.722142    
          13  -3.824030      -10.24776      -8.747658    
          13  -4.269431      -4.159930      -6.623014    
          13  -5.176154      -7.886727      -9.406359    
          13 -0.3890116      -5.800302      -6.295120    
          40 -0.9663094      -7.400346      -7.817595    
          29   3.407490      -6.507349      -6.067523    
          29   1.286211      -6.748609      -7.613068    
          29   3.897329      -12.21453      -6.272592    
          13   2.587986       12.65895      -8.342772    
          13   4.706485      -6.633098      -3.359766    
          13   5.622400      -8.548147      -10.59543    
          13   1.107283      -8.144836      -9.666062    
          13   7.908767      -9.530849      -5.333611    
          13  0.1524256      -4.350431      -7.988569    
          40   7.792488      -9.090763      -11.60049    
          40   7.212790      -10.60181      -7.534100    
          29   6.001913      -7.489452      -6.686647    
          29   3.342323      -8.252531      -7.762204    
          13   9.041203      -12.90503      -10.52746    
          13   6.241674      -4.784960      -11.78761    
          13   1.810632      -10.00044      -3.306875    
          13   8.889525      -7.904904      -8.065641    
          40   8.175550       9.839149      -9.529470    
          29   8.498320      -4.374035      -12.76091    
          29   12.39160      -5.491634      -7.664439    
          29   10.89423      -10.00409      -11.95437    
          29   7.226472      -6.924496      -9.631533    
          13   7.619314      -6.633940      -4.831536    
          13   12.25922      -6.427535      -3.173104    
          13   9.716307      -8.738303      -10.25125    
          13   11.16625      -4.657979      -4.424372    
          13   13.23199      -10.41930      -9.689292    
          40   13.86573      -7.978481      -11.12512    
          40  -12.87021      0.3777196      -4.578678    
          29  -12.57132      -8.634068      -7.624983    
          29  -10.43709      -3.200779      -7.424592    
          13  -9.231460       12.81248      -9.677096    
          13  -11.52420      -5.203971      -7.808981    
          13  -13.14644      -5.413204      -3.256944    
          13  -12.99774      -3.624922      -6.385205    
          29  -7.420887      -3.001292      -5.083841    
          29  -4.621729      -5.896420      -8.223069    
          13  -9.278757     -0.3608564      -7.028671    
          13  -5.482547      -8.091512      -6.708873    
          13  -5.688669      0.6246179      -6.830458    
          13  -5.679880      -5.555201      -10.68303    
          13  -7.170338      -1.087514      -7.950476    
          40  -4.892970      -1.385910      -5.634438    
          29  -3.419701      -4.649015      -11.50744    
          29  -3.700226      -2.032680      -7.566321    
          13  -2.311033      -4.728356      -7.979732    
          13  -3.760538      -8.469739      -4.601909    
          40   1.077353      -3.250553      -5.495512    
          29  0.8504583      -1.123526      -6.636851    
          29   7.286708     -0.8390073      -9.470937    
          13   4.040135     -0.5380617      -9.739946    
          13   1.237414      -2.323597      -8.575409    
          13  -1.526735      -3.374656      -5.847003    
          40   7.455286      -5.024092      -7.572134    
          29   4.813221      -4.870271      -5.009213    
          29   9.542283      -9.975183      -7.232523    
          13   8.098520      -2.942735      -8.937757    
          13   6.270884      0.9440652      -5.751345    
          13   6.217565      -2.858631      -5.982474    
          13   8.820991      -2.837975      -6.743765    
          13   3.975911     -0.5356700      -4.758701    
          13   12.18406       1.374498      -6.462384    
          13   5.543051     -0.7313284      -7.352656    
          40   12.99224      -1.528834      -8.038147    
          29   11.77693      -2.305744      -5.092795    
          13   8.324550     -0.5042167      -7.042026    
          13   9.349524      -2.996664      -4.010753    
          13   9.842621      -4.989369      -6.362057    
          40  -9.631649       4.081910      -4.888897    
          29  -12.55145       4.600099      -7.178196    
          13  -11.85125      -1.141237      -7.186462    
          13  -11.17793       8.379695      -8.198968    
          13   12.35643     -0.2562589      -4.085351    
          13  -11.34506      0.9135509      -8.940539    
          40  -5.658679       4.030442      -6.914122    
          29  -5.025105       2.356476      -5.470172    
          29  -7.301936       3.195299      -4.606900    
          29  -9.886292       3.851840      -10.01286    
          13  -6.993753      -2.733140      -9.677045    
          13  -9.005554       2.490590      -8.378948    
          13  -11.87284       3.140524      -9.050469    
          13  -6.744744       2.753155      -8.605763    
          29   1.837462      0.7140157      -8.276698    
          13  -3.281297       3.416513      -7.097487    
          13  -3.363842      0.2525860      -7.539076    
          13  -3.542985       5.561562      -7.984851    
          13  0.7373791       1.470618      -5.975388    
          13  -1.150253      -1.867813      -7.964945    
          13  -1.734178       1.427108      -6.320306    
          29   5.509402       3.096944      -7.194835    
          29   4.328866       1.750666      -10.62308    
          29   3.131215      -1.371198      -6.828606    
          13 -0.9536303     -0.1561132      -3.942690    
          13   4.054955       1.036304      -7.218688    
          13   2.731549       3.384225      -6.683197    
          13  0.7056577       2.809642      -7.815086    
          40   10.55815       2.323234      -4.251230    
          29  -12.80357      -1.921068      -9.294489    
          29   6.929183       4.959797      -7.497343    
          29   5.987443       1.059074      -8.717676    
          13   7.644864       2.082864      -7.386089    
          13   7.024543       5.091374      -10.77768    
          29   9.078362       3.874985      -6.231530    
          29   9.243329       3.544566      -9.274791    
          29   8.968965       5.732080      -8.342564    
          13  -10.80122      0.8833356      -2.245773    
          13   14.01945      -3.702108      -9.068533    
          13   9.762486       1.431155      -6.727208    
          29  -7.762982       10.92481      -8.036963    
          13  -12.09447       6.753955      -6.556815    
          13   12.94032       11.39141      -13.16135    
          13  -9.782273       6.486933      -8.452358    
          29  -8.721482       9.235421      -9.682026    
          29  -5.437278       7.169375      -7.343986    
          29  -11.09414       2.369132      -5.295138    
          13  -12.81310       8.382715      -9.972801    
          13  -10.07291       4.402804      -7.590829    
          13  -2.434757       5.577602      -10.51013    
          13  -9.048236       8.221087      -2.883984    
          13  -7.529271       7.716293      -8.405604    
          13  -8.029475       5.091500      -9.534084    
          13  -12.51723       1.507459      -6.961263    
          29  -2.488658       7.159021      -12.67634    
          29 -0.1187543       5.670328      -6.862753    
          29  -1.219940       3.704767      -6.151622    
          13  -4.160866       8.750821      -8.634695    
          13  -3.573326       9.561872      -6.568525    
          13  -2.415178       7.426064      -7.334608    
          13  -7.396478       7.513604      -13.38964    
          13 -2.8730243E-02   8.974303      -7.567396    
          29   3.248787       6.105608      -9.883375    
          29   7.497880       8.456940      -2.518922    
          13   3.309026       7.523446      -6.788671    
          13  -1.420047       2.964988      -10.87189    
          13   1.531310       5.051758      -8.316932    
          13   7.110543       8.645113      -7.691873    
          13   4.027822       3.502841      -9.107039    
          40   11.71229       6.998118      -7.578491    
          29   9.473620       8.313786      -8.118170    
          13   5.706033       6.710782      -8.871239    
          13   3.688003       10.19863      -8.983905    
          13   5.486266       6.950771      -6.294024    
          13   5.767723       9.174537      -9.467019    
          13   10.83503       12.12770       13.36644    
          13   6.480969       11.87565      -10.93241    
          40   11.85307       4.802361      -6.402637    
          40   11.14588       3.177405      -8.068042    
          29   10.60006       8.792341      -6.044048    
          29   11.93623       9.518306      -9.097016    
          13   12.25392       3.123485      -2.023934    
          13   8.798699       12.09766      -10.52630    
          13  -12.62029       8.644007      -4.105540    
          13   11.58281      0.9350706      -2.119177    
          29  -14.10324       11.27250      -8.701755    
          29  -11.25481       11.90065      -5.514014    
          29  -13.14577       12.97288      -1.109171    
          13  -8.152407       8.811214       13.06817    
          13  -9.972547       12.48683      -2.460886    
          13   13.01460       13.41516      -12.08350    
          29  -3.756626       7.763416      -10.83096    
          13  -5.623209       6.643066      -10.03092    
          13  -5.385436       8.183911      -5.122001    
          13  -10.84206       14.13743      -6.232947    
          40 -0.9724852       11.54572      -6.834670    
          29  -4.017470      -11.11601      -6.530570    
          29  -1.979607       11.10242      -13.36047    
          13 -0.7742682       11.93462      -2.027145    
          13 -0.6605335       10.69885      -4.725456    
          13 -0.7688919       13.31589      -4.779188    
          13  -5.001037       11.00532      -10.74875    
          13  4.0047705E-02   12.43700      -9.157860    
          29   6.260972       10.13554      -5.753717    
          29   1.358062       12.02852      -5.872701    
          13  -1.215306       8.242144      -5.046455    
          13 -1.3510734E-03   13.66470      -6.911542    
          29   1.688513       8.870140      -12.93541    
          29   4.303199       11.23788      -6.390160    
