gr_err_5%_of_1st_peak			
	0.00E+00	0.00E+00	1.70E-01
	4.39E-02	-3.50319	1.70E-01
	8.79E-02	-6.61145	1.70E-01
	0.1318401	-9.0871	1.70E-01
	0.1757868	-10.919	1.70E-01
	0.2197335	-12.2689	1.70E-01
	0.2636802	-13.3324	1.70E-01
	0.3076269	-14.2008	1.70E-01
	0.3515736	-14.8052	1.70E-01
	0.3955203	-14.971	1.70E-01
	0.439467	-14.5437	1.70E-01
	0.4834137	-13.5058	1.70E-01
	0.5273604	-12.0173	1.70E-01
	0.5713071	-10.3581	1.70E-01
	0.6152538	-8.81289	1.70E-01
	0.6592005	-7.56531	1.70E-01
	0.7031472	-6.65677	1.70E-01
	0.7470939	-6.0199	1.70E-01
	0.7910406	-5.55362	1.70E-01
	0.8349873	-5.18838	1.70E-01
	0.878934	-4.9068	1.70E-01
	0.9228807	-4.71974	1.70E-01
	0.9668274	-4.62654	1.70E-01
	1.010774	-4.59284	1.70E-01
	1.054721	-4.56069	1.70E-01
	1.098668	-4.47936	1.70E-01
	1.142614	-4.33164	1.70E-01
	1.186561	-4.13582	1.70E-01
	1.230508	-3.92436	1.70E-01
	1.274454	-3.71729	1.70E-01
	1.318401	-3.5113	1.70E-01
	1.362348	-3.29227	1.70E-01
	1.406294	-3.06011	1.70E-01
	1.450241	-2.84551	1.70E-01
	1.494188	-2.70387	1.70E-01
	1.538134	-2.6884	1.70E-01
	1.582081	-2.81961	1.70E-01
	1.626028	-3.07103	1.70E-01
	1.669975	-3.37992	1.70E-01
	1.713921	-3.67549	1.70E-01
	1.757868	-3.9066	1.70E-01
	1.801815	-4.0536	1.70E-01
	1.845761	-4.12125	1.70E-01
	1.889708	-4.12234	1.70E-01
	1.933655	-4.06574	1.70E-01
	1.977602	-3.95622	1.70E-01
	2.021548	-3.80209	1.70E-01
	2.065495	-3.62023	1.70E-01
	2.109442	-3.43051	1.70E-01
	2.153388	-3.24129	1.70E-01
	2.197335	-3.03651	1.70E-01
	2.241282	-2.77574	1.70E-01
	2.285228	-2.4104	1.70E-01
	2.329175	-1.90832	1.70E-01
	2.373122	-1.27228	1.70E-01
	2.417068	-0.541692	1.70E-01
	2.461015	0.222904	1.70E-01
	2.504962	0.962235	1.70E-01
	2.548909	1.63429	1.70E-01
	2.592855	2.21639	1.70E-01
	2.636802	2.6961	1.70E-01
	2.680749	3.06107	1.70E-01
	2.724695	3.29695	1.70E-01
	2.768642	3.39533	1.70E-01
	2.812589	3.36485	1.70E-01
	2.856535	3.23612	1.70E-01
	2.900482	3.05521	1.70E-01
	2.944429	2.86864	1.70E-01
	2.988376	2.70888	1.70E-01
	3.032322	2.58841	1.70E-01
	3.076269	2.50407	1.70E-01
	3.120216	2.44649	1.70E-01
	3.164162	2.40647	1.70E-01
	3.208109	2.37417	1.70E-01
	3.252056	2.33345	1.70E-01
	3.296002	2.25816	1.70E-01
	3.339949	2.1163	1.70E-01
	3.383896	1.88153	1.70E-01
	3.427843	1.54568	1.70E-01
	3.471789	1.12418	1.70E-01
	3.515736	0.65051	1.70E-01
	3.559683	0.162897	1.70E-01
	3.603629	-0.308584	1.70E-01
	3.647576	-0.747393	1.70E-01
	3.691523	-1.14676	1.70E-01
	3.73547	-1.50153	1.70E-01
	3.779416	-1.80283	1.70E-01
	3.823363	-2.03958	1.70E-01
	3.86731	-2.20506	1.70E-01
	3.911256	-2.30273	1.70E-01
	3.955203	-2.34569	1.70E-01
	3.99915	-2.34966	1.70E-01
	4.043097	-2.32402	1.70E-01
	4.087043	-2.2677	1.70E-01
	4.13099	-2.17288	1.70E-01
	4.174936	-2.03403	1.70E-01
	4.218883	-1.85584	1.70E-01
	4.26283	-1.65397	1.70E-01
	4.306777	-1.44824	1.70E-01
	4.350723	-1.25265	1.70E-01
	4.39467	-1.06937	1.70E-01
	4.438617	-0.890447	1.70E-01
	4.482563	-0.705809	1.70E-01
	4.52651	-0.51155	1.70E-01
	4.570457	-0.312841	1.70E-01
	4.614404	-0.119876	1.70E-01
	4.65835	5.96E-02	1.70E-01
	4.702297	0.225146	1.70E-01
	4.746243	0.382669	1.70E-01
	4.79019	0.537874	1.70E-01
	4.834137	0.689892	1.70E-01
	4.878084	0.829558	1.70E-01
	4.92203	0.943877	1.70E-01
	4.965977	1.02347	1.70E-01
	5.009924	1.06768	1.70E-01
	5.053871	1.08393	1.70E-01
	5.097817	1.08202	1.70E-01
	5.141764	1.06779	1.70E-01
	5.18571	1.04065	1.70E-01
	5.229657	0.996394	1.70E-01
	5.273604	0.932802	1.70E-01
	5.317551	0.85355	1.70E-01
	5.361497	0.767437	1.70E-01
	5.405444	0.683632	1.70E-01
	5.449391	0.606567	1.70E-01
	5.493338	0.534239	1.70E-01
	5.537284	0.461002	1.70E-01
	5.581231	0.382526	1.70E-01
	5.625177	0.29916	1.70E-01
	5.669124	0.2154	1.70E-01
	5.713071	0.136283	1.70E-01
	5.757018	6.39E-02	1.70E-01
	5.800964	-3.36E-03	1.70E-01
	5.844911	-6.78E-02	1.70E-01
	5.888858	-0.129218	1.70E-01
	5.932805	-0.184069	1.70E-01
	5.976751	-0.227843	1.70E-01
	6.020698	-0.259685	1.70E-01
	6.064645	-0.284866	1.70E-01
	6.108591	-0.312787	1.70E-01
	6.152538	-0.351209	1.70E-01
	6.196485	-0.400501	1.70E-01
	6.240431	-0.452141	1.70E-01
	6.284378	-0.493011	1.70E-01
	6.328325	-0.513001	1.70E-01
	6.372272	-0.511044	1.70E-01
	6.416218	-0.495612	1.70E-01
